BitRate		FreezeRatio		Freezes		Freezelength		Quality
24.6092853718		0.506104328524		1		1.65017504942		4.77678339352
21.8133748502		0.434435196195		3		2.67899478862		4.95436781161
23.2598890106		0.477913429523		2		1.38025366145		4.09708071542
22.3257408738		0.343162901308		3		2.05353704737		4.05866728235
22.6843534902		0.233034571063		2		2.36475656514		4.25834174285
31.2095300797		0.608561236623		4		2.1024562894		3.18062728883
40.64545729		0.779904875149		5		2.15670688299		1.58885209706
26.4902093353		0.643162901308		3		2.59362524694		2.7878854835
22.3269159604		0.281690140845		3		2.84894251239		4.94076856307
17.4633909131		0.334839476813		3		1.59554078861		4.71018104214
8.2025026522		0.728894173603		4		3.52193067214		1.66243948127
32.1435889123		0.681243063263		2		2.74930867853		3.03315376535
0.0		0.633650416171		2		1.76214024961		3.57780651664
18.913487176		0.229833546735		1		1.08109265735		4.87731866501
33.5046203944		0.909433962264		3		5.57657101176		1.44913182394
35.4193436118		0.802944942382		5		4.64104382549		1.40225734159
28.4368400813		0.411907810499		1		1.22358349449		4.97609449832
23.4777116992		0.509433962264		1		2.74258578335		3.05130148641
25.4797243449		0.629833546735		4		2.17437964856		3.42901342692
2.8751381832		0.43840665874		1		1.35009848524		3.55529692706
26.1892936395		0.616052318668		4		1.18189235104		3.38308289729
24.0879150511		0.675603663614		4		2.07661408258		2.83544318426
23.725966902		0.478101582015		4		2.44170496205		3.5881527261
36.016457304		0.60319001387		2		4.73307191563		1.07783211075
28.3035135683		0.532519422863		2		1.51767877944		2.82264792814
23.3076527434		0.684128745838		3		1.30091540365		3.17869227391
30.3231010465		0.539178690344		3		2.54921282899		3.739497373
23.7410851725		0.506104328524		4		2.35523651742		3.92198367431
28.5077630813		0.682574916759		4		4.80927459484		1.17609777784
9.0587328031		0.439595719382		2		2.97425890223		4.31865457099
28.8621443785		0.725326991677		3		2.59958468911		1.55223217568
28.8493646764		0.540288568257		3		2.70616395281		3.38433036306
35.2209005842		0.733629300777		2		3.38880993768		1.19712246108
28.6609171293		0.343162901308		1		2.85047047662		4.81125075973
23.7658338936		0.603089092423		5		4.92252437507		1.35970759681
28.4290306627		0.727705112961		2		2.69618864554		2.71387188094
38.8984006237		0.734839476813		4		4.73815383513		1.14754705702
23.8471645393		0.629725228976		3		2.18837076339		3.21520889331
33.3322636412		0.666709346991		2		2.12585318758		3.90384175837
19.632968085		0.424137931034		2		1.73919615843		4.2946587034
28.5842930444		0.543618201998		4		1.29396678474		2.95418162606
28.9248885785		0.727705112961		1		2.67437515025		3.28095190734
8.5028561161		0.30166453265		3		2.26629419251		4.73725858636
28.3713097353		0.74435196195		4		3.87577502024		1.31738422424
29.0476570562		0.237516005122		3		1.49493880678		4.98556701083
24.19500549		0.492271105826		1		2.20951991517		4.41694491936
0.0		0.53840665874		2		1.21459494514		3.57014457031
28.3012536152		0.239595719382		3		1.77583842798		4.62397219241
23.8880795459		0.214625445898		2		2.65971286627		4.74377857549
23.3765606079		0.492371705964		3		1.66024327818		3.57954099414
21.9407027994		0.441973840666		2		1.46115707572		4.36601176313
22.5199009444		0.465755053508		1		1.81163079327		4.62358520263
21.7782467051		0.236028537455		2		1.05575155222		4.95435954663
20.986529457		0.202615933413		3		1.80134719623		4.23176936237
19.9544122234		0.265685019206		3		2.99033173968		4.504752944
33.3618614094		0.614468629962		1		2.60292757571		3.4828341796
20.2426796547		0.29423815621		3		1.13928627402		4.12940295982
23.6225566463		0.706660823839		2		4.87609655053		2.91158344329
25.7132721193		0.767221297837		4		5.95626636764		1.36340102236
3.5604374062		0.49833518313		3		1.09589715879		3.56724829806
24.1018987334		0.291423813489		1		1.24128993313		4.79616004423
38.5191078453		0.343618201998		2		2.49277999567		1.70575751321
29.1053242928		0.42471190781		2		3.86662479522		1.61422569181
38.3040667084		0.519381688466		3		3.18035978544		1.28646637604
23.9011521474		0.476586888658		1		1.90391940963		4.66236710171
18.8720247124		0.341973840666		1		1.19102524633		4.4627380284
33.1470027433		0.716227461859		3		3.85185116617		1.43302849652
26.1141982153		0.512763596004		1		1.70758854022		3.06071887666
23.7575202852		0.586590709904		2		1.51809766619		2.68332125735
19.0140794329		0.23085787452		1		2.51671266409		4.42454221737
17.2088302692		0.813060179257		4		2.76983871133		2.91914027102
27.8471728354		0.318192627824		3		1.83281630027		4.40000486093
23.7551415666		0.290245836638		2		1.25855905503		4.43191644327
30.3741152502		0.628553137004		2		1.36286185963		3.31424623244
23.89720032		0.521997621879		3		2.40295278523		4.98324812093
23.2701340104		0.642039542144		3		1.42611494092		3.3692473777
