BitRate		FreezeRatio		Freezes		Freezelength		Quality
26.8178641927		0.561787905346		1		2.35863111592		3.08917827074
21.3238000881		0.311744084137		1		2.10762426786		4.98959772496
49.1030231948		0.778648383937		3		2.07782560197		1.36691969877
19.2520632223		0.354480570975		1		1.75665188771		4.16445042217
43.0813202035		0.787463271303		3		4.88759749624		1.708318379
50.7921912935		0.771792360431		2		4.11791536254		1.28690327572
0.0		0.761998041136		3		1.28255960133		3.38689846806
13.0559898318		0.484431571325		1		1.75190435005		4.29628809786
45.0083501094		0.774730656219		5		2.96246901519		1.97262884887
50.0261331012		0.791380999021		5		2.8109373661		1.10753374453
46.1344407949		0.781586679726		2		2.6350856949		1.28732896207
48.1816981852		0.779627815867		5		2.14906898633		1.48664631817
21.9194747104		0.774730656219		4		3.68051420182		1.8601475381
18.4419646055		0.351308485329		3		1.48339309		4.00952043397
21.9055722019		0.778648383937		5		5.65440610482		1.72366253149
23.2053206722		0.37623012869		1		2.11271343246		4.35007111854
17.5807564076		0.373959121877		2		1.25024896579		4.65235920187
22.6955670272		0.759481961147		4		5.21086865332		1.41441915162
37.4328244612		0.363996827914		3		1.14779709709		4.38155293956
21.3454076907		0.289452815226		2		2.68464227697		4.96752908714
0.0		0.603856266433		3		2.79592536119		4.49556591291
26.6022185623		0.416256938937		2		2.12227960528		4.55049280958
0.0		0.903036238981		4		1.07758981339		3.01315223846
51.006452123		0.800185013876		3		4.02644806471		1.26107197778
16.199950072		0.496017378711		2		1.52952391225		4.78916802782
22.8328254581		0.485879797248		3		2.12368603384		3.73366287373
24.8457443406		0.77058279371		3		3.25217373056		1.87918404403
33.4100740128		0.753183153771		5		4.9756348751		1.67161708424
47.8545655154		0.771071800208		4		5.94994022298		1.50864120517
28.3102066991		0.786680541103		5		5.15644115348		1.82091916707
40.8393808472		0.851126346719		4		3.57066559744		1.098493478
0.0		0.821743388834		2		1.54059511055		3.25559731113
27.5495577429		0.484536082474		4		1.10006778624		3.3747633779
22.9758466838		0.379258137774		1		2.50238549438		4.62232970067
0.0		0.807051909892		3		1.89319645344		2.60657634351
46.2604291242		0.732615083252		4		3.83442204637		1.79542241533
22.658205093		0.377744133232		2		2.14310955636		4.7438225463
44.7302018036		0.811654526535		2		2.36228796518		1.80544850335
48.9581596082		0.797257590597		2		4.23633998164		1.51813467714
52.8306138296		0.725759059745		2		3.71162881625		1.5426045347
21.3977817499		0.795005202914		3		3.29797543472		1.07932707853
15.4410312614		0.464042392127		1		2.62640001514		4.17080591539
17.9026200985		0.471054718477		2		1.69122265754		4.41211078855
32.1357956156		0.474640423921		3		1.53418629415		4.39645508489
0.0		0.527878349022		2		1.37536302467		4.05761127483
10.4747767131		0.401211203634		2		2.56040228824		4.26420230944
14.8376760013		0.445041635125		3		1.22349788227		4.25079872446
18.0766726907		0.340999206979		3		1.41639552896		4.40041564435
22.9235287391		0.401211203634		2		2.36976343229		4.70168695669
4.18216532805		0.589422135162		4		2.44470636351		3.03777434276
21.1487869598		0.800195886386		2		5.52066005301		1.55305740847
24.3134071996		0.798237022527		4		2.29370647093		1.1673172285
1.34957537576		0.555557815867		4		1.70463985893		2.83080299295
20.9462791434		0.490537471612		1		2.53675741367		3.40714426806
45.5300477675		0.49659348978		1		2.97670969631		3.18495198035
28.4318123043		0.493565480696		1		1.10388354375		3.09065761853
0.0		0.594819611471		3		1.46769717667		4.46034537209
19.4724821263		0.603856266433		4		2.56502856142		3.15865132291
0.0		0.605609114812		3		1.0504080873		3.96315602978
47.112372855		0.812928501469		5		2.69345895951		1.91921742533
22.328133325		0.813735691988		2		4.52833129267		1.47782916969
19.4632564319		0.35685963521		2		2.83101594272		4.39412827716
46.7967200903		0.77277179236		5		4.91019138163		1.47983990802
25.7898254301		0.811654526535		4		4.41747409351		1.75050713994
0.0		0.647548566142		4		2.58299150903		2.98901475481
22.5346129045		0.369417108251		3		1.22518040486		3.4654696244
24.842789715		0.483545543585		2		2.15749250642		2.61513840563
38.0325497752		0.764936336925		2		5.75494402607		1.61797827332
17.0137276583		0.49659348978		3		2.4307671209		3.53240725648
21.3047643715		0.375892149088		3		2.68876605936		4.09496313082
20.6344321315		0.395155185466		2		1.24271156135		4.96283098391
20.9010826178		0.37074583635		1		2.05195998338		4.60084510831
38.3277176293		0.865764828304		5		4.72973666792		1.82598499817
37.9153643536		0.547876769359		3		2.36384037538		2.87502070044
33.4631853653		0.786680541103		4		4.59788443798		1.33854616754
21.6405654961		0.38699444885		1		1.91128953581		2.76764258312
28.4639155431		0.461787905346		2		2.19514917826		4.03772011033
25.7641235095		0.523394131642		4		1.54657370235		3.9700350309
24.6158352731		0.521015067407		2		1.28266511329		3.08224004311
36.0015286648		0.841332027424		3		2.80615317636		1.48923762182
19.4947990597		0.360333080999		1		1.01513720553		4.91174553829
10.8537636241		0.539742619228		1		1.451646866		3.17374438073
28.7164563561		0.565480696442		4		2.27720239386		2.92473079992
5.31488921957		0.457573354481		2		1.31086117713		2.97695365751
44.0357495755		0.713247539743		4		3.00180527411		1.06686671499
41.1482586978		0.799216454456		3		2.14205676667		1.57151981634
27.2483633434		0.637743845444		4		3.64828092458		1.00376241377
41.3248623843		0.913947394734		2		5.84115247297		1.7482041221
30.2943494732		0.423264834638		2		2.6703435611		3.10182565533
48.0323232333		0.523486234834		4		2.82595428542		1.96820881167
28.3444345499		0.499435755454		1		1.81015237915		3.22216531834
29.3493674334		0.511223332233		4		1.41486001681		3.61319315858
38.9328423434		0.723234234344		4		2.40453973947		1.05309525389
29.2344448444		0.823494635555		4		2.07349794034		1.64949841947
42.9765786972		0.711112343499		3		3.20014813154		1.21675772373
31.2384576309		0.480349855556		4		2.22267755316		3.02202584043
27.9198348372		0.523567788996		3		2.3740866891		3.44845473044
32.0002385129		0.524832649169		1		2.59373416013		2.83512626391
39.9934234972		0.681233435987		2		3.78479490834		1.96564509685
27.2298231791		0.523846223098		2		2.14375979356		3.12714612712
