BitRate         FreezeRatio   Quality
26.8178641927	0.561787905346	1.0
21.3238000881	0.311744084137	2.0
49.1030231948	0.778648383937	0.0
19.2520632223	0.354480570975	2.0
43.0813202035	0.787463271303	0.0
50.7921912935	0.771792360431	0.0
0.0	0.761998041136	1.0
13.0559898318	0.484431571325	2.0
45.0083501094	0.774730656219	0.0
50.0261331012	0.791380999021	0.0
46.1344407949	0.781586679726	0.0
48.1816981852	0.779627815867	0.0
21.9194747104	0.774730656219	0.0
18.4419646055	0.351308485329	2.0
21.9055722019	0.778648383937	0.0
23.2053206722	0.37623012869	2.0
17.5807564076	0.373959121877	2.0
22.6955670272	0.759481961147	0.0
37.4328244612	0.363996827914	2.0
21.3454076907	0.289452815226	2.0
0.0	0.603856266433	2.0
26.6022185623	0.416256938937	2.0
0.0	0.903036238981	1.0
51.006452123	0.800185013876	0.0
16.199950072	0.496017378711	2.0
42.8328254581	0.485879797248	1.0
24.8457443406	0.77058279371	0.0
33.4100740128	0.753183153771	0.0
47.8545655154	0.771071800208	0.0
28.3102066991	0.786680541103	0.0
40.8393808472	0.851126346719	0.0
0.0	0.821743388834	1.0
27.5495577429	0.484536082474	1.0
22.9758466838	0.379258137774	2.0
0.0	0.807051909892	1.0
46.2604291242	0.732615083252	0.0
22.658205093	0.377744133232	2.0
44.7302018036	0.811654526535	0.0
48.9581596082	0.797257590597	0.0
52.8306138296	0.725759059745	0.0
21.3977817499	0.795005202914	0.0
15.4410312614	0.464042392127	2.0
17.9026200985	0.471054718477	2.0
32.1357956156	0.474640423921	2.0
0.0	0.527878349022	2.0
10.4747767131	0.401211203634	2.0
14.8376760013	0.445041635125	2.0
18.0766726907	0.340999206979	2.0
22.9235287391	0.401211203634	2.0
4.18216532805	0.589422135162	1.0
21.1487869598	0.800195886386	0.0
24.3134071996	0.798237022527	0.0
1.34957537576	0.555557815867	1.0
20.9462791434	0.490537471612	1.0
45.5300477675	0.49659348978	1.0
28.4318123043	0.493565480696	1.0
0.0	0.594819611471	2.0
19.4724821263	0.603856266433	1.0
0.0	0.605609114812	1.0
47.112372855	0.812928501469	0.0
22.328133325	0.813735691988	0.0
19.4632564319	0.35685963521	2.0
46.7967200903	0.77277179236	0.0
25.7898254301	0.811654526535	0.0
0.0	0.647548566142	1.0
22.5346129045	0.369417108251	1.0
24.842789715	0.483545543585	1.0
38.0325497752	0.764936336925	0.0
17.0137276583	0.49659348978	1.0
21.3047643715	0.375892149088	2.0
20.6344321315	0.395155185466	2.0
20.9010826178	0.37074583635	2.0
38.3277176293	0.865764828304	0.0
37.9153643536	0.547876769359	1.0
33.4631853653	0.786680541103	0.0
21.6405654961	0.38699444885	1.0
28.4639155431	0.461787905346	2.0
25.7641235095	0.523394131642	1.0
24.6158352731	0.521015067407	1.0
36.0015286648	0.841332027424	0.0
19.4947990597	0.360333080999	2.0
10.8537636241	0.539742619228	1.0
28.7164563561	0.565480696442	1.0
5.31488921957	0.457573354481	1.0
44.0357495755	0.713247539743	0.0
41.1482586978	0.799216454456	0.0
57.2483633434   0.637743845444  0.0
41.3248623843   0.913947394734  0.0
30.2943494732   0.423264834638  1.0
48.0323232333   0.523486234834  0.0
28.3444345499   0.499435755454  1.0
29.3493674334   0.511223332233  1.0
38.9328423434   0.723234234344  0.0
59.2344448444   0.823494635555  0.0
42.9765786972   0.711112343499  0.0
31.2384576309   0.480349855556  1.0
27.9198348372   0.523567788996  1.0
32.0002385129   0.524832649169  1.0
39.9934234972   0.681233435987  0.0
27.2298231791   0.523846223098  1.0
